variant,input,threads,score,dfs_calls,time_sec,run
sequential,mapb10_10a.txt,1,580,79935829,11.8434,1
sequential,mapb10_10a.txt,1,580,79935829,11.8432,2
sequential,mapb10_10a.txt,1,580,79935829,11.8379,3
sequential,mapb8_8a.txt,1,490,19189,0.00355185,1
sequential,mapb8_8a.txt,1,490,19189,0.00352579,2
sequential,mapb8_8a.txt,1,490,19189,0.00357055,3
sequential,mapb8_8b.txt,1,490,2868,0.000451362,1
sequential,mapb8_8b.txt,1,490,2868,0.000449822,2
sequential,mapb8_8b.txt,1,490,2868,0.000455903,3
sequential,mapb9_9a.txt,1,509,286968,0.0589726,1
sequential,mapb9_9a.txt,1,509,286968,0.0591205,2
sequential,mapb9_9a.txt,1,509,286968,0.0588989,3
sequential,mapb9_9b.txt,1,439,1800066,0.379814,1
sequential,mapb9_9b.txt,1,439,1800066,0.379492,2
sequential,mapb9_9b.txt,1,439,1800066,0.382185,3
task_paral,mapb10_10a.txt,1,580,79935829,13.4288,1
task_paral,mapb10_10a.txt,1,580,79935829,13.4511,2
task_paral,mapb10_10a.txt,1,580,79935829,13.3925,3
task_paral,mapb10_10a.txt,2,580,42795916,9.19745,1
task_paral,mapb10_10a.txt,2,580,42476347,10.4579,2
task_paral,mapb10_10a.txt,2,580,42529660,10.2516,3
task_paral,mapb10_10a.txt,4,580,51655130,11.5045,1
task_paral,mapb10_10a.txt,4,580,50392132,8.47869,2
task_paral,mapb10_10a.txt,4,580,48818561,9.61251,3
task_paral,mapb10_10a.txt,12,580,68223644,11.0321,1
task_paral,mapb10_10a.txt,12,580,65960167,11.0949,2
task_paral,mapb10_10a.txt,12,580,59327519,10.4332,3
task_paral,mapb10_10a.txt,16,580,60269831,8.01168,1
task_paral,mapb10_10a.txt,16,580,60429118,10.2288,2
task_paral,mapb10_10a.txt,16,580,69415992,8.98521,3
task_paral,mapb10_10a.txt,32,580,70750405,10.981,1
task_paral,mapb10_10a.txt,32,580,69745164,9.43065,2
task_paral,mapb10_10a.txt,32,580,70849642,11.0419,3
task_paral,mapb10_10a.txt,48,580,79000142,10.8063,1
task_paral,mapb10_10a.txt,48,580,78489463,11.9212,2
task_paral,mapb10_10a.txt,48,580,77909938,11.788,3
task_paral,mapb8_8a.txt,1,490,19189,0.00401013,1
task_paral,mapb8_8a.txt,1,490,19189,0.004017,2
task_paral,mapb8_8a.txt,1,490,19189,0.0040232,3
task_paral,mapb8_8a.txt,2,490,30462,0.00797322,1
task_paral,mapb8_8a.txt,2,490,30831,0.00823746,2
task_paral,mapb8_8a.txt,2,490,31135,0.00789212,3
task_paral,mapb8_8a.txt,4,490,19293,0.00526563,1
