variant,input,threads,score,dfs_calls,time_sec,run
data_paral,mapb9_9a.txt,12,509,494951,0.0942099,6
data_paral,mapb8_8a.txt,12,490,27185,0.00546835,5
data_paral,mapb9_9b.txt,1,439,1796052,0.401009,5
data_paral,mapb8_8a.txt,32,490,32667,0.00836265,2
data_paral,mapb8_8a.txt,16,490,25265,0.00512199,2
data_paral,mapb8_8b.txt,4,490,2852,0.000945564,2
data_paral,mapb8_8a.txt,4,490,18878,0.00473636,2
data_paral,mapb8_8a.txt,12,490,32315,0.0056263,2
data_paral,mapb8_8a.txt,2,490,21868,0.00614078,2
data_paral,mapb8_8a.txt,1,490,19043,0.00386729,3
data_paral,mapb10_10a.txt,48,580,76213907,9.74223,3
data_paral,mapb9_9a.txt,48,509,594379,0.0990669,4
data_paral,mapb9_9a.txt,32,509,595861,0.107562,4
data_paral,mapb10_10a.txt,32,580,76733379,10.0885,3
data_paral,mapb10_10a.txt,16,580,74128619,10.7543,3
data_paral,mapb10_10a.txt,12,580,77005531,7.88394,3
data_paral,mapb10_10a.txt,4,580,77108460,17.6159,3
data_paral,mapb10_10a.txt,1,580,79931876,13.019,3
data_paral,mapb10_10a.txt,2,580,79038760,15.6844,3
data_paral,mapb9_9b.txt,2,439,1831028,0.536227,4
data_paral,mapb9_9b.txt,1,439,1796052,0.401417,4
data_paral,mapb8_8b.txt,32,490,2852,0.00279256,4
data_paral,mapb8_8b.txt,48,490,2852,0.0225106,4
data_paral,mapb9_9a.txt,1,509,286690,0.0621354,4
data_paral,mapb8_8a.txt,2,490,21768,0.00529698,5
data_paral,mapb9_9a.txt,2,509,311631,0.0895818,4
data_paral,mapb8_8a.txt,48,490,31413,0.00882417,5
data_paral,mapb8_8b.txt,12,490,2852,0.00150932,2
data_paral,mapb8_8b.txt,48,490,2852,0.00379734,5
data_paral,mapb9_9a.txt,2,509,319050,0.0929188,5
data_paral,mapb9_9a.txt,4,509,303188,0.0644017,5
data_paral,mapb9_9b.txt,48,439,2290389,0.28669,4
data_paral,mapb9_9b.txt,32,439,2200363,0.332344,5
data_paral,mapb9_9b.txt,16,439,2008206,0.256906,5
data_paral,mapb9_9b.txt,4,439,1837530,0.39092,5
data_paral,mapb9_9b.txt,12,439,1956177,0.317975,5
data_paral,mapb8_8b.txt,2,490,2852,0.000829184,5
data_paral,mapb8_8b.txt,12,490,2852,0.0014776,5
data_paral,mapb8_8b.txt,16,490,2852,0.00182516,5
data_paral,mapb8_8b.txt,1,490,2852,0.000508883,5
data_paral,mapb8_8a.txt,32,490,21763,0.00606228,5
data_paral,mapb8_8a.txt,16,490,35331,0.00788351,5
data_paral,mapb9_9b.txt,2,439,1815631,0.587229,2
data_paral,mapb9_9b.txt,4,439,1844474,0.508878,2
data_paral,mapb9_9b.txt,12,439,1954549,0.317233,2
data_paral,mapb9_9b.txt,48,439,2272985,0.282803,2
data_paral,mapb9_9b.txt,32,439,2201084,0.248893,2
data_paral,mapb9_9b.txt,16,439,2029236,0.344784,2
data_paral,mapb8_8b.txt,1,490,2852,0.000506262,2
data_paral,mapb8_8a.txt,48,490,32457,0.00934297,2
data_paral,mapb8_8b.txt,16,490,2852,0.00171577,2
data_paral,mapb8_8b.txt,2,490,2852,0.000820544,2
data_paral,mapb8_8b.txt,32,490,2852,0.00288819,5
data_paral,mapb9_9a.txt,4,509,307506,0.0839974,4
data_paral,mapb10_10a.txt,4,580,76711585,17.227,4
data_paral,mapb8_8b.txt,48,490,2852,0.0354847,3
data_paral,mapb8_8b.txt,32,490,2852,0.00271485,3
data_paral,mapb8_8b.txt,16,490,2852,0.00177784,3
data_paral,mapb8_8a.txt,48,490,33875,0.0404705,3
data_paral,mapb8_8b.txt,2,490,2852,0.000824714,3
data_paral,mapb8_8b.txt,1,490,2852,0.000506702,3
data_paral,mapb8_8b.txt,4,490,2852,0.000955505,3
data_paral,mapb8_8b.txt,12,490,2852,0.0015103,3
data_paral,mapb8_8a.txt,32,490,33230,0.00826793,3
data_paral,mapb8_8a.txt,16,490,29338,0.00679757,3
data_paral,mapb8_8a.txt,12,490,30892,0.00675389,3
data_paral,mapb8_8a.txt,4,490,18656,0.00528555,3
data_paral,mapb8_8a.txt,2,490,21968,0.00624909,3
data_paral,mapb9_9b.txt,2,439,1816404,0.52887,3
data_paral,mapb9_9b.txt,4,439,1835358,0.530955,3
data_paral,mapb9_9b.txt,12,439,1966325,0.356669,3
data_paral,mapb9_9b.txt,32,439,2219827,0.330262,3
data_paral,mapb9_9b.txt,16,439,2045410,0.343246,3
data_paral,mapb9_9b.txt,4,439,1839594,0.526524,4
data_paral,mapb9_9b.txt,48,439,2266881,0.25511,3
data_paral,mapb9_9b.txt,16,439,2019591,0.344518,4
data_paral,mapb9_9b.txt,12,439,1965488,0.359331,4
data_paral,mapb9_9b.txt,32,439,2164853,0.335921,4
data_paral,mapb9_9a.txt,4,509,310369,0.0839483,3
data_paral,mapb9_9a.txt,12,509,496519,0.096761,4
data_paral,mapb9_9a.txt,2,509,318423,0.0937946,3
data_paral,mapb9_9a.txt,12,509,498937,0.097365,3
data_paral,mapb10_10a.txt,2,580,79191759,17.84,4
data_paral,mapb10_10a.txt,1,580,79931876,12.9803,4
data_paral,mapb10_10a.txt,48,580,75216645,9.75839,4
data_paral,mapb8_8a.txt,1,490,19043,0.00384877,4
data_paral,mapb8_8a.txt,2,490,21116,0.00569362,4
data_paral,mapb10_10a.txt,32,580,77705019,7.04564,4
data_paral,mapb10_10a.txt,16,580,74148383,10.7958,4
data_paral,mapb10_10a.txt,12,580,76819805,11.9457,4
data_paral,mapb8_8a.txt,4,490,18784,0.00474841,4
data_paral,mapb8_8a.txt,12,490,31956,0.00563178,4
data_paral,mapb8_8a.txt,16,490,30384,0.00685574,4
data_paral,mapb8_8a.txt,32,490,34673,0.00853138,4
data_paral,mapb8_8a.txt,48,490,35370,0.0565745,4
data_paral,mapb8_8b.txt,16,490,2852,0.00186426,4
data_paral,mapb8_8b.txt,12,490,2852,0.0015069,4
data_paral,mapb8_8b.txt,2,490,2852,0.000740213,4
data_paral,mapb8_8b.txt,4,490,2852,0.000974475,4
data_paral,mapb8_8b.txt,1,490,2852,0.000510242,4
data_paral,mapb9_9a.txt,16,509,565656,0.103321,4
data_paral,mapb9_9b.txt,1,439,1796052,0.400819,3
data_paral,mapb9_9a.txt,48,509,597619,0.0961021,3
data_paral,mapb9_9a.txt,32,509,611776,0.0812761,3
data_paral,mapb9_9a.txt,16,509,560612,0.0765607,3
data_paral,mapb9_9a.txt,1,509,286690,0.0622573,3
data_paral,mapb8_8b.txt,4,490,2852,0.000976754,5
data_paral,mapb9_9b.txt,48,439,2325254,0.330873,5
data_paral,mapb10_10a.txt,2,580,78980559,17.849,2
data_paral,mapb9_9b.txt,32,439,2093492,0.303425,6
data_paral,mapb9_9b.txt,16,439,2046593,0.344985,6
data_paral,mapb9_9b.txt,2,439,1815982,0.591625,6
data_paral,mapb9_9b.txt,4,439,1839528,0.524195,6
data_paral,mapb9_9b.txt,12,439,1969648,0.352906,6
