variant,input,threads,score,time_sec,run
mpi,mapb10_10a.txt,48,580,3.38644,1
mpi,mapb10_10a.txt,48,580,3.36151,2
mpi,mapb10_10a.txt,48,580,3.36127,3
mpi,mapb10_10a.txt,48,580,3.35975,4
mpi,mapb10_10a.txt,48,580,3.3618,5
mpi,mapb10_10a.txt,48,580,3.34184,6
mpi,mapb10_10a.txt,48,580,3.36692,7
mpi,mapb10_10a.txt,48,580,3.36424,8
mpi,mapb10_10a.txt,48,580,3.34526,9
mpi,mapb10_10a.txt,48,580,3.358,10
mpi,mapb8_8a.txt,48,490,0.0132305,1
mpi,mapb8_8a.txt,48,490,0.0106988,2
mpi,mapb8_8a.txt,48,490,0.0431433,3
mpi,mapb8_8a.txt,48,490,0.0405781,4
mpi,mapb8_8a.txt,48,490,0.0429123,5
mpi,mapb8_8a.txt,48,490,0.0373069,6
mpi,mapb8_8a.txt,48,490,0.0461638,7
mpi,mapb8_8a.txt,48,490,0.0456066,8
mpi,mapb8_8a.txt,48,490,0.0363788,9
mpi,mapb8_8a.txt,48,490,0.0440715,10
mpi,mapb8_8b.txt,48,490,0.0433101,1
mpi,mapb8_8b.txt,48,490,0.0469575,2
mpi,mapb8_8b.txt,48,490,0.02709,3
mpi,mapb8_8b.txt,48,490,0.0277124,4
mpi,mapb8_8b.txt,48,490,0.00797746,5
mpi,mapb8_8b.txt,48,490,0.0407173,6
mpi,mapb8_8b.txt,48,490,0.0417251,7
mpi,mapb8_8b.txt,48,490,0.0447001,8
mpi,mapb8_8b.txt,48,490,0.00784769,9
mpi,mapb8_8b.txt,48,490,0.00727375,10
mpi,mapb9_9a.txt,48,509,0.0669555,1
mpi,mapb9_9a.txt,48,509,0.0497022,2
mpi,mapb9_9a.txt,48,509,0.0878521,3
mpi,mapb9_9a.txt,48,509,0.0628547,4
mpi,mapb9_9a.txt,48,509,0.066103,5
mpi,mapb9_9a.txt,48,509,0.0710918,6
mpi,mapb9_9a.txt,48,509,0.0747378,7
mpi,mapb9_9a.txt,48,509,0.0748445,8
mpi,mapb9_9a.txt,48,509,0.0697345,9
mpi,mapb9_9a.txt,48,509,0.0741977,10
mpi,mapb9_9b.txt,48,439,0.361814,1
mpi,mapb9_9b.txt,48,439,0.368986,2
mpi,mapb9_9b.txt,48,439,0.362499,3
mpi,mapb9_9b.txt,48,439,0.361696,4
mpi,mapb9_9b.txt,48,439,0.362339,5
mpi,mapb9_9b.txt,48,439,0.385017,6
mpi,mapb9_9b.txt,48,439,0.378862,7
mpi,mapb9_9b.txt,48,439,0.570769,8
mpi,mapb9_9b.txt,48,439,0.433521,9
mpi,mapb9_9b.txt,48,439,0.358672,10
