variant,input,threads,score,time_sec,run
sequential,mapb10_10a.txt,1,580,11.6378,1
sequential,mapb10_10a.txt,1,580,11.6601,2
sequential,mapb10_10a.txt,1,580,11.6888,3
sequential,mapb8_8a.txt,1,490,0.00354067,1
sequential,mapb8_8a.txt,1,490,0.0034795,2
sequential,mapb8_8a.txt,1,490,0.00348214,3
sequential,mapb8_8b.txt,1,490,0.000436742,1
sequential,mapb8_8b.txt,1,490,0.000437102,2
sequential,mapb8_8b.txt,1,490,0.000436172,3
sequential,mapb9_9a.txt,1,509,0.057919,1
sequential,mapb9_9a.txt,1,509,0.0578183,2
sequential,mapb9_9a.txt,1,509,0.0584209,3
sequential,mapb9_9b.txt,1,439,0.373317,1
sequential,mapb9_9b.txt,1,439,0.378022,2
sequential,mapb9_9b.txt,1,439,0.37235,3
task_paral,mapb10_10a.txt,1,580,13.324,1
task_paral,mapb10_10a.txt,1,580,13.3395,2
task_paral,mapb10_10a.txt,1,580,13.3463,3
task_paral,mapb10_10a.txt,2,580,6.9256,1
task_paral,mapb10_10a.txt,2,580,6.25087,2
task_paral,mapb10_10a.txt,2,580,6.61617,3
task_paral,mapb10_10a.txt,4,580,6.30606,1
task_paral,mapb10_10a.txt,4,580,6.38057,2
task_paral,mapb10_10a.txt,4,580,6.17365,3
task_paral,mapb10_10a.txt,12,580,6.28083,1
task_paral,mapb10_10a.txt,12,580,6.55662,2
task_paral,mapb10_10a.txt,12,580,5.6723,3
task_paral,mapb10_10a.txt,16,580,6.28528,1
task_paral,mapb10_10a.txt,16,580,6.70434,2
task_paral,mapb10_10a.txt,16,580,5.42912,3
task_paral,mapb10_10a.txt,32,580,6.52497,1
task_paral,mapb10_10a.txt,32,580,6.8719,2
task_paral,mapb10_10a.txt,32,580,6.29595,3
task_paral,mapb10_10a.txt,48,580,6.81778,1
task_paral,mapb10_10a.txt,48,580,7.19292,2
task_paral,mapb10_10a.txt,48,580,7.29746,3
task_paral,mapb8_8a.txt,1,490,0.00405725,1
task_paral,mapb8_8a.txt,1,490,0.00405357,2
task_paral,mapb8_8a.txt,1,490,0.00406411,3
task_paral,mapb8_8a.txt,2,490,0.00592503,1
task_paral,mapb8_8a.txt,2,490,0.00658543,2
task_paral,mapb8_8a.txt,2,490,0.00652724,3
task_paral,mapb8_8a.txt,4,490,0.00435833,1
task_paral,mapb8_8a.txt,4,490,0.00417977,2
task_paral,mapb8_8a.txt,4,490,0.00438525,3
task_paral,mapb8_8a.txt,12,490,0.00515241,1
task_paral,mapb8_8a.txt,12,490,0.00497649,2
task_paral,mapb8_8a.txt,12,490,0.00492399,3
task_paral,mapb8_8a.txt,16,490,0.005368,1
task_paral,mapb8_8a.txt,16,490,0.0053141,2
task_paral,mapb8_8a.txt,16,490,0.00486688,3
task_paral,mapb8_8a.txt,32,490,0.00633347,1
task_paral,mapb8_8a.txt,32,490,0.00648454,2
task_paral,mapb8_8a.txt,32,490,0.00680168,3
task_paral,mapb8_8a.txt,48,490,0.00781418,1
task_paral,mapb8_8a.txt,48,490,0.00728014,2
task_paral,mapb8_8a.txt,48,490,0.0392845,3
task_paral,mapb8_8b.txt,1,490,0.000551863,1
task_paral,mapb8_8b.txt,1,490,0.000554633,2
task_paral,mapb8_8b.txt,1,490,0.000548073,3
task_paral,mapb8_8b.txt,2,490,0.000859314,1
task_paral,mapb8_8b.txt,2,490,0.000868424,2
task_paral,mapb8_8b.txt,2,490,0.000853224,3
task_paral,mapb8_8b.txt,4,490,0.00100508,1
task_paral,mapb8_8b.txt,4,490,0.000992575,2
task_paral,mapb8_8b.txt,4,490,0.00100643,3
task_paral,mapb8_8b.txt,12,490,0.00158647,1
task_paral,mapb8_8b.txt,12,490,0.00158873,2
task_paral,mapb8_8b.txt,12,490,0.00157839,3
task_paral,mapb8_8b.txt,16,490,0.0017767,1
task_paral,mapb8_8b.txt,16,490,0.00184865,2
task_paral,mapb8_8b.txt,16,490,0.00179633,3
task_paral,mapb8_8b.txt,32,490,0.00282909,1
task_paral,mapb8_8b.txt,32,490,0.00301863,2
task_paral,mapb8_8b.txt,32,490,0.00300098,3
task_paral,mapb8_8b.txt,48,490,0.0215395,1
